date, pm25
2023/6/20, 18
2023/6/21, 25
2023/6/22, 110
2023/6/23, 259
2023/6/24, 672
2023/6/25, 406
2021/10/2, 25
2021/10/3, 25
2021/10/4, 46
2021/10/5, 53
2021/10/6, 46
2021/10/7, 16
2021/10/8, 41
2021/10/9, 22
2021/10/10, 18
2021/10/11, 22
2021/10/12, 10
2021/10/13, 8
2021/10/14, 14
2021/10/15, 10
2021/10/16, 15
2021/10/17, 31
2021/10/18, 45
2021/8/6, 23
2021/8/7, 122
2021/8/8, 171
2021/8/9, 129
2021/8/10, 61
2021/8/11, 51
2021/8/12, 48
2021/8/13, 32
2021/8/14, 38
2021/8/15, 65
2021/8/16, 109
2021/8/17, 129
2021/8/18, 56
2021/8/19, 105
2021/8/20, 144
2021/8/21, 124
2021/8/22, 91
2021/8/23, 86
2021/8/24, 82
2021/8/25, 51
2021/8/26, 57
2021/8/27, 88
2021/8/28, 120
2021/8/29, 139
2021/8/30, 152
2021/8/31, 130
2021/9/1, 151
2021/9/2, 45
2021/9/3, 60
2021/9/4, 64
2021/9/5, 83
2021/9/6, 64
2021/9/7, 45
2021/9/8, 32
2021/9/9, 92
2021/9/10, 64
2021/9/11, 35
2021/9/12, 55
2021/9/13, 57
2021/9/14, 119
2021/9/15, 104
2021/9/16, 73
2021/9/17, 55
2021/9/18, 53
2021/9/19, 37
2021/9/20, 16
2021/9/21, 11
2021/9/22, 28
2021/9/23, 48
2021/9/24, 87
2021/9/25, 51
2021/9/26, 51
2021/9/27, 27
2021/9/28, 20
2021/9/29, 9
2021/9/30, 8
2021/10/1, 17
2020/10/2, 164
2020/10/3, 120
2020/10/4, 134
2020/10/5, 162
2020/10/6, 146
2020/10/7, 75
2020/10/8, 82
2020/10/9, 72
2020/10/10, 74
2020/10/11, 49
2020/10/12, 26
2020/10/13, 20
2020/10/14, 26
2020/10/15, 18
2020/10/16, 19
2020/10/17, 14
2020/10/18, 12
2020/12/2, 24
2020/12/3, 51
2020/12/4, 48
2020/12/5, 46
2020/12/6, 49
2020/12/7, 42
2020/12/8, 9
2020/8/27, 126
2020/8/28, 85
2020/8/29, 94
2020/8/30, 123
2020/8/31, 105
2020/9/1, 84
2020/9/2, 36
2020/9/4, 80
2020/9/5, 109
2020/9/6, 148
2020/9/7, 121
2020/9/8, 121
2020/9/9, 88
2020/9/10, 45
2020/9/11, 183
2020/9/12, 174
2020/9/13, 190
2020/9/14, 184
2020/9/15, 201
2020/9/16, 153
2020/9/17, 146
2020/9/18, 117
2020/9/19, 53
2020/9/20, 65
2020/9/21, 118
2020/9/22, 145
2020/9/23, 67
2020/9/24, 66
2020/9/25, 59
2020/9/26, 38
2020/9/27, 47
2020/9/28, 16
2020/9/29, 28
2020/9/30, 141
2020/10/1, 157