date, pm25, pm10, o3, no2
2023/11/2, 39, 64, 24, 8
2023/11/3, 27, 24, 24, 7
2023/11/4, 30, 20, 29, 3
2023/11/5, 15, 25, 33, 1
2023/11/6, 16, 20, 33, 2
2023/11/7, 16, 5, 37, 2
2023/11/8, 11, 6, 28, 3
2023/11/9, 12, 8, 25, 6
2023/11/10, 21, 12, 29, 7
2023/11/11, 34, 9, 33, 5
2023/11/12, 22, 5, 37, 3
2023/11/13, 12, 7, 35, 1
2023/11/14, 10, 8, 37, 1
2023/11/15, 13, 9, 35, 1
2023/11/16, 13, 5, 28, 3
2023/11/17, 16, 9, 23, 7
2023/11/18, 28, 5, 32, 2
2023/11/19, 12, , , 
2023/10/2, 14, 7, 33, 1
2023/10/3, 15, 7, 25, 3
2023/10/4, 22, 6, 26, 3
2023/10/5, 14, 8, 33, 4
2023/10/6, 15, 10, 32, 4
2023/10/7, 23, 9, 38, 3
2023/10/8, 23, 7, 40, 2
2023/10/9, 20, 18, 35, 2
2023/10/10, 18, 13, 36, 2
2023/10/11, 19, 8, 35, 1
2023/10/12, 12, 4, 27, 3
2023/10/13, 11, 7, 28, 2
2023/10/14, 14, 6, 31, 1
2023/10/15, 8, 8, 36, 3
2023/10/16, 18, 17, 33, 5
2023/10/17, 20, 21, 37, 4
2023/10/18, 27, 22, 35, 4
2023/10/19, 24, 23, 36, 6
2023/10/20, 20, 22, 35, 5
2023/10/21, 20, 15, 36, 3
2023/10/22, 18, 11, 36, 2
2023/10/23, 19, 16, 33, 3
2023/10/24, 20, 12, 31, 3
2023/10/25, 41, 24, 38, 1
2023/10/26, 21, 5, 35, 1
2023/10/27, 12, 7, 29, 4
2023/10/28, 19, 6, 27, 2
2023/10/29, 16, 7, 29, 2
2023/10/30, 26, 12, 27, 7
2023/10/31, 27, 21, 26, 9
2023/11/1, 37, 31, 26, 11
2023/7/2, 37, 22, 45, 1
2023/7/3, 35, 29, 40, 2
2023/7/4, 33, 14, 47, 2
2023/7/5, 34, 24, 55, 3
2023/7/6, 52, 24, 49, 3
2023/7/7, 34, 18, 58, 2
2023/7/8, 32, 26, 54, 1
2023/7/9, 44, 21, 49, 2
2023/7/10, 38, 17, 52, 1
2023/7/11, 28, 15, 45, 1
2023/7/12, 17, 29, 47, 2
2023/7/13, 42, 33, 50, 2
2023/7/14, 27, 26, 35, 3
2023/7/15, 33, 23, 45, 4
2023/7/16, 29, 23, 41, 1
2023/7/17, 27, 36, 38, 2
2023/7/18, 35, 32, 39, 3
2023/7/19, 48, 16, 46, 1
2023/7/20, 30, 16, 58, 2
2023/7/21, 32, 18, 53, 2
2023/7/22, 26, 22, 51, 1
2023/7/23, 27, 25, 42, 1
2023/7/24, 29, 33, 40, 1
2023/7/25, 40, 21, 48, 1
2023/7/26, 40, 20, 45, 1
2023/7/27, 22, 16, 44, 1
2023/7/28, 20, 18, 40, 3
2023/7/29, 27, 20, 45, 1
2023/7/30, 38, 20, 48, 1
2023/7/31, 43, 22, 46, 1
2023/8/1, 35, 12, 46, 1
2023/8/2, 22, 10, 42, 1
2023/8/3, 30, 7, 41, 1
2023/8/4, 25, 6, 50, 1
2023/8/5, 18, 11, 55, 2
2023/8/6, 20, 11, 52, 3
2023/8/7, 30, 102, 53, 3
2023/8/8, 32, 20, 48, 1
2023/8/9, 46, 24, 65, 3
2023/8/10, 56, 25, 49, 1
2023/8/11, 25, 18, 37, 3
2023/8/12, 19, 13, 47, 2
2023/8/13, 19, 14, 45, 2
2023/8/14, 19, 27, 57, 3
2023/8/15, 32, 19, 50, 2
2023/8/16, 27, 21, 60, 2
2023/8/17, 22, 19, 45, 1
2023/8/18, 26, 8, 44, 1
2023/8/19, 18, 6, 40, 1
2023/8/20, 15, 10, 40, 1
2023/8/21, 25, 11, 36, 1
2023/8/22, 26, 5, 33, 1
2023/8/23, 21, 9, 37, 1
2023/8/24, 24, 10, 40, 2
2023/8/25, 33, 10, 50, 1
2023/8/26, 30, 11, 41, 1
2023/8/27, 26, 9, 43, 1
2023/8/28, 19, 16, 51, 4
2023/8/29, 22, 17, 44, 2
2023/8/30, 18, 46, 57, 3
2023/8/31, 83, 34, 46, 3
2023/9/1, 47, 18, 38, 1
2023/9/2, 11, 5, 41, 
2023/9/3, 13, 10, 34, 1
2023/9/4, 23, 5, 37, 1
2023/9/5, 14, 7, 39, 1
2023/9/6, 15, 17, 44, 2
2023/9/7, 23, 12, 41, 1
2023/9/8, 15, 12, 39, 1
2023/9/9, 13, 11, 36, 1
2023/9/10, 26, 11, 36, 1
2023/9/11, 27, 28, 47, 3
2023/9/12, 28, 26, 47, 2
2023/9/13, 23, 42, 42, 1
2023/9/14, 24, 26, 39, 3
2023/9/15, 25, 24, 47, 5
2023/9/16, 27, 16, 48, 3
2023/9/17, 21, 20, 47, 1
2023/9/18, 25, 25, 40, 1
2023/9/19, 23, 12, 33, 2
2023/9/20, 19, 13, 38, 1
2023/9/21, 19, 11, 39, 2
2023/9/22, 18, 8, 36, 2
2023/9/23, 20, 6, 42, 2
2023/9/24, 21, 8, 42, 1
2023/9/25, 25, 12, 44, 1
2023/9/26, 18, 18, 39, 2
2023/9/27, 17, 14, 39, 1
2023/9/28, 13, 26, 39, 3
2023/9/29, 24, 18, 41, 4
2023/9/30, 19, 17, 38, 2
2023/10/1, 17, 7, 37, 1
2023/4/2, 8, 6, 31, 1
2023/4/3, 13, 2, 35, 1
2023/4/4, 7, 4, 34, 2
2023/4/5, 7, 5, 36, 4
2023/4/6, 11, 5, 40, 4
2023/4/7, 11, 6, 38, 2
2023/4/8, 12, 11, 36, 2
2023/4/9, 24, 8, 40, 3
2023/4/10, 27, 14, 41, 3
2023/4/11, 24, 12, 40, 1
2023/4/12, 17, 31, 41, 1
2023/4/13, 30, 7, 36, 2
2023/4/14, 18, 10, 36, 5
2023/4/15, 12, 10, 39, 4
2023/4/16, 12, 11, 40, 1
2023/4/17, 13, 23, 47, 1
2023/4/18, 31, 58, 38, 1
2023/4/19, 51, 7, 36, 1
2023/4/20, 10, 11, 37, 2
2023/4/21, 14, 21, 33, 2
2023/4/22, 12, 5, 39, 3
2023/4/23, 26, 6, 38, 2
2023/4/24, 21, 7, 35, 2
2023/4/25, 12, 9, 31, 2
2023/4/26, 12, 11, 34, 5
2023/4/27, 34, 16, 35, 4
2023/4/28, 18, 15, 52, 2
2023/4/29, 21, 14, 49, 2
2023/4/30, 33, 13, 44, 1
2023/5/1, 29, 20, 44, 1
2023/5/2, 29, 24, 43, 1
2023/5/3, 32, 22, 40, 2
2023/5/4, 28, 18, 40, 1
2023/5/5, 25, 8, 36, 1
2023/5/6, 10, 5, 35, 1
2023/5/7, 6, 5, 36, 1
2023/5/8, 11, 11, 39, 3
2023/5/9, 16, 15, 41, 3
2023/5/10, 30, 21, 42, 4
2023/5/11, 31, 16, 44, 4
2023/5/12, 31, 17, 42, 4
2023/5/13, 26, 8, 38, 1
2023/5/14, 18, 4, 45, 1
2023/5/15, 15, 10, 44, 2
2023/5/16, 26, 18, 50, 3
2023/5/17, 28, 17, 48, 3
2023/5/18, 28, 11, 46, 2
2023/5/19, 19, 17, 50, 3
2023/5/20, 47, 24, 56, 2
2023/5/21, 72, 20, 52, 2
2023/5/22, 62, 16, 40, 1
2023/5/23, 38, 10, 42, 1
2023/5/24, 17, 14, 42, 2
2023/5/25, 26, 11, 41, 2
2023/5/26, 19, 11, 42, 2
2023/5/27, 20, 7, 38, 1
2023/5/28, 26, 8, 44, 2
2023/5/29, 29, 9, 46, 2
2023/5/30, 30, 13, 46, 2
2023/5/31, 27, 24, 46, 4
2023/6/1, 30, 14, 42, 3
2023/6/2, 23, 13, 40, 3
2023/6/3, 21, 10, 46, 2
2023/6/4, 26, 8, 52, 1
2023/6/5, 19, 13, 45, 3
2023/6/6, 29, 14, 42, 2
2023/6/7, 24, 11, 44, 2
2023/6/8, 18, 11, 53, 2
2023/6/9, 24, 13, 48, 1
2023/6/10, 21, 10, 47, 2
2023/6/11, 24, 8, 46, 1
2023/6/12, 18, 14, 45, 2
2023/6/13, 31, 9, 47, 2
2023/6/14, 20, 9, 41, 1
2023/6/15, 17, 5, 47, 2
2023/6/16, 14, 10, 54, 2
2023/6/17, 23, 9, 46, 2
2023/6/18, 21, 24, 46, 1
2023/6/19, 31, 43, 41, 1
2023/6/20, 43, 10, 36, 1
2023/6/21, 22, 12, 41, 3
2023/6/22, 24, 24, 56, 4
2023/6/23, 30, 26, 49, 2
2023/6/24, 32, 21, 48, 4
2023/6/25, 25, 15, 50, 2
2023/6/26, 15, 10, 53, 1
2023/6/27, 14, 21, 47, 3
2023/6/28, 36, 18, 42, 3
2023/6/29, 27, 13, 46, 3
2023/6/30, 27, 12, 48, 4
2023/7/1, 23, 16, 47, 2
2023/1/3, 15, 5, 25, 8
2023/1/4, 26, 4, 31, 4
2023/1/5, 13, 9, 29, 1
2023/1/6, 4, 3, 24, 8
2023/1/7, 13, 3, 29, 3
2023/1/8, 12, 3, 31, 1
2023/1/9, 5, 9, 28, 1
2023/1/10, 6, 3, 26, 1
2023/1/11, 7, 2, 29, 5
2023/1/12, 13, 5, 28, 5
2023/1/13, 13, 6, 30, 3
2023/1/14, 9, 4, 29, 1
2023/1/15, 3, 2, 27, 2
2023/1/16, 11, , 29, 2
2023/1/17, 9, , 28, 5
2023/1/18, 16, 173, 28, 3
2023/1/19, 13, 7, 29, 3
2023/1/20, 13, 7, 29, 8
2023/1/21, 21, 7, 28, 5
2023/1/22, 26, 7, 29, 4
2023/1/23, 24, 9, 27, 8
2023/1/24, 20, 8, 25, 9
2023/1/25, 26, 11, 26, 9
2023/1/26, 49, 14, 27, 8
2023/1/27, 54, 7, 27, 6
2023/1/28, 22, 4, 31, 3
2023/1/29, 3, 7, 30, 3
2023/1/30, 6, 15, 29, 6
2023/1/31, 19, 18, 27, 12
2023/2/1, 36, 29, 25, 20
2023/2/2, 75, 27, 27, 21
2023/2/3, 68, 31, 28, 19
2023/2/4, 63, 35, 28, 21
2023/2/5, 87, 9, 32, 5
2023/2/6, 24, 5, 27, 7
2023/2/7, 15, 9, 25, 10
2023/2/8, 22, 11, 31, 7
2023/2/9, 31, 9, 29, 7
2023/2/10, 16, 13, 32, 11
2023/2/11, 34, 15, 27, 13
2023/2/12, 33, 22, 31, 15
2023/2/13, 72, 20, 34, 13
2023/2/14, 59, 8, 29, 4
2023/2/15, 8, 11, 31, 2
2023/2/16, 10, 11, 28, 8
2023/2/17, 13, 12, 31, 11
2023/2/18, 30, 17, 29, 12
2023/2/19, 58, 9, 32, 6
2023/2/20, 27, 57, 28, 5
2023/2/21, 11, 5, 32, 2
2023/2/22, 8, 1, 32, 2
2023/2/23, 8, 5, 33, 1
2023/2/24, 6, 3, 40, 1
2023/2/25, 9, 5, 39, 3
2023/2/26, 12, 7, 45, 7
2023/2/27, 11, 4, 39, 1
2023/2/28, 3, 3, 40, 1
2023/3/1, 4, 4, 37, 2
2023/3/2, 8, 6, 37, 3
2023/3/3, 11, 5, 36, 3
2023/3/4, 9, 8, 40, 1
2023/3/5, 12, 6, 41, 2
2023/3/6, 12, 4, 42, 2
2023/3/7, 7, 10, 41, 8
2023/3/8, 33, 11, 41, 7
2023/3/9, 23, 10, 65, 2
2023/3/10, 11, 14, 33, 1
2023/3/11, 7, 3, 37, 4
2023/3/12, 3, 9, 28, 6
2023/3/13, 37, 6, 32, 3
2023/3/14, 19, 5, 32, 1
2023/3/15, 3, 5, 36, 1
2023/3/16, 4, 6, 38, 2
2023/3/17, 18, 8, 42, 5
2023/3/18, 25, 5, 40, 4
2023/3/19, 18, 5, 36, 1
2023/3/20, 10, 3, 33, 1
2023/3/21, 7, 4, 36, 3
2023/3/22, 13, 6, 40, 2
2023/3/23, 4, 4, 34, 3
2023/3/24, 6, 4, 37, 2
2023/3/25, 5, 3, 35, 1
2023/3/26, 3, 4, 35, 2
2023/3/27, 5, 4, 32, 2
2023/3/28, 6, 7, 37, 6
2023/3/29, 8, 19, 37, 6
2023/3/30, 19, 5, 39, 3
2023/3/31, 15, 4, 36, 2
2023/4/1, 7, 7, 38, 1
2022/10/2, 15, 10, 35, 1
2022/10/3, 15, 20, 36, 3
2022/10/4, 21, 19, 37, 6
2022/10/5, 24, 24, 39, 6
2022/10/6, 27, 24, 37, 3
2022/10/7, 24, 23, 40, 3
2022/10/8, 26, 28, 42, 4
2022/10/9, 25, 15, 42, 2
2022/10/10, 13, 23, 39, 3
2022/10/11, 29, 32, 32, 2
2022/10/12, 38, 35, 33, 5
2022/10/13, 38, 32, 32, 4
2022/10/14, 32, 26, 36, 5
2022/10/15, 27, 19, 36, 4
2022/10/16, 25, 16, 33, 2
2022/10/17, 19, 30, 32, 5
2022/10/18, 24, 35, 34, 8
2022/10/19, 29, 31, 35, 6
2022/10/20, 25, 45, 34, 8
2022/10/21, 26, 47, 33, 3
2022/10/22, 20, 42, 34, 2
2022/10/23, 33, 3, 26, 1
2022/10/24, 13, 5, 26, 4
2022/10/25, 24, 5, 25, 2
2022/10/26, 20, 4, 27, 2
2022/10/27, 12, 4, 28, 3
2022/10/28, 7, 9, 30, 7
2022/10/29, 31, 13, 28, 10
2022/10/30, 34, 7, 32, 5
2022/10/31, 28, 11, 31, 5
2022/11/1, 18, 16, 35, 1
2022/11/2, 12, 12, 34, 4
2022/11/3, 12, 3, 28, 2
2022/11/4, 21, 4, 26, 3
2022/11/5, 12, 3, 26, 1
2022/11/6, 6, 3, 31, 1
2022/11/7, 6, 16, 26, 1
2022/11/8, 12, 8, 26, 5
2022/11/9, 21, 3, 31, 2
2022/11/10, 3, 4, 27, 4
2022/11/11, 10, 6, 24, 6
2022/11/12, 21, 16, 23, 9
2022/11/13, 37, 10, 27, 7
2022/11/14, 43, 6, 27, 5
2022/11/15, 24, 8, 29, 6
2022/11/16, 27, 12, 24, 9
2022/11/17, 33, 13, 30, 8
2022/11/18, 24, 15, 24, 9
2022/11/19, 41, 13, 22, 12
2022/11/20, 36, 17, 21, 12
2022/11/21, 56, 27, 17, 19
2022/11/22, 55, 38, 16, 22
2022/11/23, 56, 23, 25, 13
2022/11/24, 33, , 23, 5
2022/11/25, 24, , 21, 10
2022/11/26, 29, , 20, 12
2022/11/27, 39, 5, 30, 4
2022/11/28, 23, 6, 27, 4
2022/11/29, 3, 5, 27, 3
2022/11/30, 3, 5, 30, 1
2022/12/1, 3, 27, 31, 1
2022/12/2, 13, 8, 29, 3
2022/12/3, 11, 16, 21, 22
2022/12/4, 39, 7, 25, 12
2022/12/5, 24, 4, 25, 8
2022/12/6, 18, 8, 23, 12
2022/12/7, 24, 17, 18, 15
2022/12/8, 56, 8, 29, 8
2022/12/9, 28, 5, 29, 4
2022/12/10, 16, 3, 31, 2
2022/12/11, 5, 2, 30, 1
2022/12/12, 3, 3, 32, 6
2022/12/13, 7, 38, 21, 7
2022/12/14, 21, 4, 25, 4
2022/12/15, 13, 7, 23, 8
2022/12/16, 23, 6, 24, 7
2022/12/17, 13, 10, 23, 10
2022/12/18, 23, 10, 24, 14
2022/12/19, 33, 10, 26, 13
2022/12/20, 28, 19, 26, 16
2022/12/21, 32, 11, 27, 4
2022/12/22, 13, 14, 29, 8
2022/12/23, 18, 28, 9, 31
2022/12/24, 55, 30, 19, 31
2022/12/25, 90, 17, 17, 15
2022/12/26, 67, 5, 26, 6
2022/12/27, 20, 2, 27, 1
2022/12/28, 2, 3, 27, 4
2022/12/29, 4, 3, 29, 4
2022/12/30, 4, 2, 27, 2
2022/12/31, 4, 2, 28, 2
2023/1/1, 3, 4, 25, 10
2023/1/2, 15, 3, 26, 6
2022/7/2, 31, 16, 33, 1
2022/7/3, 23, 30, 37, 1
2022/7/4, 27, 18, 39, 1
2022/7/5, 19, 14, 37, 1
2022/7/6, 22, 19, 36, 1
2022/7/7, 28, 19, 40, 1
2022/7/8, 19, 18, 40, 1
2022/7/9, 17, 23, 38, 1
2022/7/10, 28, 31, 45, 1
2022/7/11, 41, 35, 46, 4
2022/7/12, 43, 32, 45, 3
2022/7/13, 43, 26, 42, 1
2022/7/14, 37, 18, 42, 1
2022/7/15, 26, 19, 45, 1
2022/7/16, 33, 13, 56, 1
2022/7/17, 26, 24, 44, 1
2022/7/18, 32, 18, 55, 1
2022/7/19, 33, 29, 47, 2
2022/7/20, 40, 33, 65, 2
2022/7/21, 33, 32, 50, 3
2022/7/22, 33, 36, 47, 1
2022/7/23, 31, 22, 66, 4
2022/7/24, 33, 23, 43, 1
2022/7/25, 33, 22, 50, 1
2022/7/26, 35, 31, 45, 3
2022/7/27, 40, 39, 52, 3
2022/7/28, 21, 37, 47, 2
2022/7/29, 25, 31, 46, 2
2022/7/30, 33, 19, 45, 1
2022/7/31, 34, 22, 48, 1
2022/8/1, 34, 28, 42, 2
2022/8/2, 22, 10, 48, 3
2022/8/3, 32, 23, 57, 4
2022/8/4, 52, 27, 54, 3
2022/8/5, 43, 19, 45, 2
2022/8/6, 35, 10, 39, 1
2022/8/7, 30, 8, 45, 2
2022/8/8, 29, 18, 54, 5
2022/8/9, 31, 29, 76, 4
2022/8/10, 35, 29, 44, 1
2022/8/11, 24, 22, 45, 2
2022/8/12, 29, 15, 42, 3
2022/8/13, 26, 9, 46, 1
2022/8/14, 20, 6, 44, 1
2022/8/15, 17, 18, 50, 4
2022/8/16, 28, 18, 49, 4
2022/8/17, 27, 33, 52, 2
2022/8/18, 30, 36, 48, 2
2022/8/19, 26, 23, 39, 3
2022/8/20, 20, 9, 39, 1
2022/8/21, 18, 13, 46, 2
2022/8/22, 22, 19, 48, 5
2022/8/23, 28, 23, 45, 3
2022/8/24, 30, 30, 40, 1
2022/8/25, 28, 16, 50, 2
2022/8/26, 20, 15, 43, 1
2022/8/27, 16, 15, 42, 1
2022/8/28, 12, 25, 43, 1
2022/8/29, 26, 43, 55, 3
2022/8/30, 39, 33, 53, 4
2022/8/31, 26, 46, 54, 3
2022/9/1, 28, 44, 47, 2
2022/9/2, 26, 34, 53, 4
2022/9/3, 36, 32, 57, 1
2022/9/4, 28, 33, 48, 1
2022/9/5, 26, 36, 46, 3
2022/9/6, 35, 44, 44, 4
2022/9/7, 36, 48, 43, 3
2022/9/8, 32, 65, 43, 3
2022/9/9, 58, 49, 56, 3
2022/9/10, 78, 50, 61, 4
2022/9/11, 119, 48, 58, 2
2022/9/12, 86, 59, 55, 4
2022/9/13, 79, 18, 33, 1
2022/9/14, 15, 6, 27, 2
2022/9/15, 21, 7, 33, 2
2022/9/16, 19, 8, 43, 1
2022/9/17, 18, 12, 42, 2
2022/9/18, 38, 13, 36, 1
2022/9/19, 14, 12, 36, 1
2022/9/20, 4, 11, 33, 1
2022/9/21, 7, 11, 28, 1
2022/9/22, 7, 15, 35, 2
2022/9/23, 19, 17, 38, 3
2022/9/24, 24, 17, 43, 2
2022/9/25, 27, 20, 44, 4
2022/9/26, 24, 38, 47, 4
2022/9/27, 32, 27, 40, 3
2022/9/28, 20, 20, 34, 1
2022/9/29, 17, 11, 36, 1
2022/9/30, 23, 13, 34, 1
2022/10/1, 24, 10, 36, 2
2022/4/2, 14, 13, 33, 2
2022/4/3, 21, 12, 39, 2
2022/4/4, 24, 34, 32, 3
2022/4/5, 17, 23, 33, 1
2022/4/6, 19, 8, 36, 3
2022/4/7, 13, 16, 38, 4
2022/4/8, 20, 18, 33, 3
2022/4/9, 22, 35, 37, 1
2022/4/10, 25, 12, 37, 1
2022/4/11, 16, 28, 33, 1
2022/4/12, 25, 5, 32, 2
2022/4/13, 9, 5, 34, 2
2022/4/14, 9, 9, 32, 2
2022/4/15, 18, 11, 29, 3
2022/4/16, 17, 11, 30, 3
2022/4/17, 16, 10, 34, 1
2022/4/18, 17, 24, 42, 4
2022/4/19, 38, 53, 38, 1
2022/4/20, 62, 10, 40, 2
2022/4/21, 18, 88, 39, 1
2022/4/22, 73, 23, 31, 2
2022/4/23, 26, 6, 34, 2
2022/4/24, 10, 6, 35, 2
2022/4/25, 15, 10, 40, 3
2022/4/26, 17, 19, 42, 1
2022/4/27, 35, 33, 41, 4
2022/4/28, 39, 33, 40, 2
2022/4/29, 35, 21, 38, 1
2022/4/30, 24, 11, 38, 2
2022/5/1, 20, 9, 30, 2
2022/5/2, 16, 17, 36, 2
2022/5/3, 23, 12, 36, 1
2022/5/4, 11, 6, 31, 3
2022/5/5, 24, 9, 35, 3
2022/5/6, 23, 34, 35, 1
2022/5/7, 43, 50, 37, 1
2022/5/8, 61, 28, 36, 1
2022/5/9, 26, 10, 34, 1
2022/5/10, 17, 16, 40, 4
2022/5/11, 20, 26, 41, 3
2022/5/12, 17, 9, 35, 2
2022/5/13, 11, 12, 35, 2
2022/5/14, 15, 14, 39, 3
2022/5/15, 17, 14, 38, 2
2022/5/16, 17, 21, 36, 2
2022/5/17, 23, 17, 35, 2
2022/5/18, 23, 24, 45, 4
2022/5/19, 28, 45, 36, 1
2022/5/20, 29, 16, 33, 1
2022/5/21, 10, 8, 39, 1
2022/5/22, 9, 22, 40, 2
2022/5/23, 16, 10, 37, 2
2022/5/24, 17, 19, 36, 3
2022/5/25, 22, 24, 41, 4
2022/5/26, 25, 24, 35, 1
2022/5/27, 24, 38, 39, 2
2022/5/28, 50, 17, 31, 1
2022/5/29, 30, 7, 37, 1
2022/5/30, 10, 3, 25, 1
2022/5/31, 6, 5, 29, 3
2022/6/1, 9, 10, 45, 4
2022/6/2, 12, 18, 46, 3
2022/6/3, 17, 26, 45, 2
2022/6/4, 16, 24, 39, 2
2022/6/5, 25, 18, 29, 2
2022/6/6, 21, 16, 39, 3
2022/6/7, 22, 25, 47, 4
2022/6/8, 37, 26, 53, 6
2022/6/9, 25, 32, 55, 4
2022/6/10, 35, 34, 49, 2
2022/6/11, 36, 26, 40, 2
2022/6/12, 33, 67, 42, 1
2022/6/13, 61, 26, 38, 1
2022/6/14, 30, 10, 37, 1
2022/6/15, 23, 23, 43, 2
2022/6/16, 28, 29, 47, 2
2022/6/17, 22, 70, 45, 1
2022/6/18, 58, 104, 36, 1
2022/6/19, 79, 46, 44, 1
2022/6/20, 40, 10, 37, 1
2022/6/21, 18, 19, 44, 5
2022/6/22, 23, 22, 52, 7
2022/6/23, 28, 34, 38, 2
2022/6/24, 34, 32, 44, 2
2022/6/25, 33, 19, 40, 2
2022/6/26, 23, 100, 43, 3
2022/6/27, 16, 36, 42, 2
2022/6/28, 27, 27, 39, 2
2022/6/29, 28, 25, 38, 1
2022/6/30, 39, 28, 44, 2
2022/7/1, 39, 18, 37, 1
2022/1/4, 6, 34, 32, 7
2022/1/5, 17, 6, 27, 5
2022/1/6, 10, 4, 25, 5
2022/1/7, 12, 8, 30, 1
2022/1/8, 10, 4, 29, 2
2022/1/9, 10, 5, 27, 5
2022/1/10, 18, 17, 23, 14
2022/1/11, 29, 32, 14, 19
2022/1/12, 64, 27, 21, 16
2022/1/13, 46, 24, 20, 17
2022/1/14, 35, 26, 24, 13
2022/1/15, 62, 21, 25, 9
2022/1/16, 58, 20, 23, 12
2022/1/17, 52, 28, 18, 19
2022/1/18, 57, 40, 14, 23
2022/1/19, 90, 33, 16, 16
2022/1/20, 81, 17, 25, 9
2022/1/21, 46, 9, 27, 7
2022/1/22, 19, 10, 24, 9
2022/1/23, 31, 14, 23, 10
2022/1/24, 46, 17, 24, 10
2022/1/25, 40, 16, 26, 9
2022/1/26, 40, 15, 26, 11
2022/1/27, 29, 17, 28, 11
2022/1/28, 42, 25, 23, 15
2022/1/29, 47, 26, 21, 18
2022/1/30, 55, 68, 19, 21
2022/1/31, 76, 29, 30, 9
2022/2/1, 37, 10, 31, 3
2022/2/2, 3, 5, 30, 3
2022/2/3, 7, 7, 29, 7
2022/2/4, 10, 15, 25, 10
2022/2/5, 32, 16, 26, 10
2022/2/6, 35, 9, 29, 5
2022/2/7, 27, 19, 27, 10
2022/2/8, 28, 23, 25, 11
2022/2/9, 42, 16, 30, 8
2022/2/10, 27, 15, 24, 9
2022/2/11, 33, 11, 29, 5
2022/2/12, 17, 10, 33, 6
2022/2/13, 24, 13, 32, 5
2022/2/14, 23, 18, 31, 4
2022/2/15, 12, 31, 33, 2
2022/2/16, 22, 7, 28, 4
2022/2/17, 15, 8, 26, 5
2022/2/18, 26, 11, 28, 6
