date, pm25, pm10, so2
2023/12/2, 41, 14, 1
2023/12/3, 31, 16, 6
2023/12/4, 39, 16, 1
2023/12/5, 37, 17, 9
2023/12/6, 32, 20, 8
2023/12/7, 47, 23, 
2023/12/8, 59, 20, 3
2023/12/9, 52, 27, 6
2023/12/10, 61, 29, 16
2023/12/11, 58, 53, 
2023/12/12, 51, 20, 
2023/12/13, 31, 14, 
2023/12/14, 25, 22, 10
2023/12/15, 48, 11, 
2023/12/16, 25, 12, 3
2023/12/17, 24, 6, 
2023/12/18, 12, 7, 
2023/12/19, 13, 11, 
2023/12/20, 24, 26, 14
2023/12/21, 55, 33, 3
2023/12/22, 32, 20, 
2023/12/23, 25, 24, 6
2023/12/24, 44, 31, 
2023/12/25, 62, , 
2023/11/2, 67, 22, 
2023/11/3, 42, 19, 4
2023/11/4, 37, 18, 
2023/11/5, 33, 16, 
2023/11/6, 21, 15, 1
2023/11/7, 18, 18, 10
2023/11/8, 27, 41, 
2023/11/9, 76, 25, 1
2023/11/10, 52, 17, 12
2023/11/11, 51, 16, 
2023/11/12, 44, 15, 3
2023/11/13, 41, 20, 1
2023/11/14, 46, 21, 
2023/11/15, 51, 23, 6
2023/11/16, 51, 38, 10
2023/11/17, 78, 23, 
2023/11/18, 39, 13, 
2023/11/19, 27, 12, 4
2023/11/20, 26, 11, 6
2023/11/21, 28, 17, 5
2023/11/22, 32, 19, 4
2023/11/23, 43, 19, 6
2023/11/24, 52, 14, 10
2023/11/25, 34, 11, 14
2023/11/26, 22, 18, 4
2023/11/27, 37, 10, 3
2023/11/28, 23, 13, 4
2023/11/29, 28, 15, 8
2023/11/30, 30, 13, 1
2023/12/1, 22, 24, 2
2023/10/2, 41, 14, 
2023/10/3, 23, 16, 2
2023/10/4, 25, 50, 8
2023/10/5, 45, 22, 
2023/10/6, 19, 16, 
2023/10/7, 12, 15, 
2023/10/8, 24, 23, 8
2023/10/9, 51, 16, 
2023/10/10, 43, 17, 1
2023/10/11, 45, 13, 
2023/10/12, 29, 13, 
2023/10/13, 24, 25, 
2023/10/14, 30, 18, 
2023/10/15, 19, 11, 7
2023/10/16, 15, 12, 
2023/10/17, 16, 14, 
2023/10/18, 19, 16, 2
2023/10/19, 31, 18, 17
2023/10/20, 36, 18, 18
2023/10/21, 34, 15, 32
2023/10/22, 21, 24, 
2023/10/23, 38, 22, 3
2023/10/24, 43, 26, 2
2023/10/25, 51, 36, 
2023/10/26, 39, 29, 
2023/10/27, 27, 27, 
2023/10/28, 46, 49, 
2023/10/29, 102, 48, 8
2023/10/30, 103, 41, 
2023/10/31, 78, 33, 5
2023/11/1, 72, 34, 13
2023/7/2, 7, 5, 1
2023/7/3, 10, 3, 
2023/7/4, 8, 5, 32
2023/7/5, 12, 10, 31
2023/7/6, 23, 11, 31
2023/7/7, 22, 6, 
2023/7/8, 11, 8, 
2023/7/9, 11, 7, 
2023/7/10, 11, 6, 
2023/7/11, 7, 8, 
2023/7/12, 9, 10, 
2023/7/13, 15, 9, 
2023/7/14, 14, 10, 
2023/7/15, 17, 11, 
2023/7/16, 21, , 
2023/7/18, 10, 15, 
2023/7/19, 15, 9, 
2023/7/20, 13, 13, 11
2023/7/21, 24, 13, 
2023/7/22, 18, 11, 
2023/7/23, 15, 20, 
2023/7/24, 16, 13, 
2023/7/25, 11, 17, 
2023/7/26, 14, 8, 
2023/7/27, 12, 9, 
2023/7/28, 13, 11, 2
2023/7/29, 18, 12, 
2023/7/30, 20, 12, 
2023/7/31, 19, 11, 
2023/8/1, 12, 13, 
2023/8/2, 17, 16, 
2023/8/3, 16, 12, 
2023/8/4, 18, 13, 
2023/8/5, 19, 15, 
2023/8/6, 15, 12, 
2023/8/7, 16, 13, 
2023/8/8, 16, 13, 
2023/8/9, 21, 15, 
2023/8/10, 22, 14, 
2023/8/11, 22, 17, 
2023/8/12, 26, 22, 10
2023/8/13, 29, 16, 7
2023/8/14, 29, 22, 5
2023/8/15, 30, 21, 3
2023/8/16, 34, 19, 
2023/8/17, 34, 23, 1
2023/8/18, 37, 18, 
2023/8/19, 18, 11, 
2023/8/20, 13, 9, 
2023/8/21, 10, 17, 
2023/8/22, 25, 15, 1
2023/8/23, 21, 11, 
2023/8/24, 14, 12, 
2023/8/25, 16, 13, 
2023/8/26, 20, 16, 
2023/8/27, 21, 16, 
2023/8/28, 26, 16, 
2023/8/29, 25, 19, 
2023/8/30, 30, 21, 
2023/8/31, 22, 17, 
2023/9/1, 18, 12, 
2023/9/2, 13, 17, 21
2023/9/3, 24, 18, 2
2023/9/4, 25, 22, 
2023/9/5, 41, 27, 4
2023/9/6, 50, 21, 
2023/9/7, 37, 30, 
2023/9/8, 54, 48, 
2023/9/9, 37, 14, 
2023/9/10, 18, 13, 
2023/9/11, 17, 22, 
2023/9/12, 39, 22, 
2023/9/13, 45, 19, 
2023/9/14, 31, 22, 
2023/9/15, 39, 22, 
2023/9/16, 43, 26, 
2023/9/17, 48, 19, 
2023/9/18, 34, 17, 
2023/9/19, 31, 19, 4
2023/9/20, 33, 19, 1
2023/9/21, 32, 26, 7
2023/9/22, 39, 19, 
2023/9/23, 25, 18, 20
2023/9/24, 25, 18, 
2023/9/25, 31, 18, 3
2023/9/26, 30, 15, 
2023/9/27, 20, 15, 
2023/9/28, 21, 19, 
2023/9/29, 22, 17, 
2023/9/30, 25, 19, 
2023/10/1, 30, 21, 
2023/4/2, 9, 8, 
2023/4/3, 8, 9, 
2023/4/4, 8, 11, 
2023/4/5, 11, 11, 1
2023/4/6, 12, 14, 11
2023/4/7, 21, 14, 6
2023/4/8, 20, 13, 1
2023/4/9, 15, 11, 1
2023/4/10, 15, 11, 1
2023/4/11, 19, 14, 1
2023/4/12, 20, 15, 1
2023/4/13, 17, 15, 1
2023/4/14, 18, 16, 12
2023/4/15, 22, 22, 1
2023/4/16, 30, 8, 1
2023/4/17, 13, 7, 1
2023/4/18, 9, 11, 2
2023/4/19, 13, 7, 
2023/4/20, 11, 10, 
2023/4/21, 12, 13, 
2023/4/22, 19, 12, 
2023/4/23, 18, 12, 
2023/4/24, 15, 12, 
2023/4/25, 14, 12, 
2023/4/26, 18, 12, 
2023/4/27, 19, 13, 
2023/4/28, 18, 12, 185
2023/4/29, 18, 15, 3
2023/4/30, 16, 9, 
2023/5/1, 14, 8, 
2023/5/2, 12, 9, 
2023/5/3, 10, 10, 
2023/5/4, 9, 11, 
2023/5/5, 15, 13, 
2023/5/6, 17, 10, 
2023/5/7, 12, 21, 
2023/5/8, 18, 11, 
2023/5/9, 9, 9, 
2023/5/10, 7, 9, 
2023/5/11, 8, 15, 
2023/5/12, 20, 16, 
2023/5/13, 24, 11, 
2023/5/14, 16, 11, 
2023/5/15, 17, 13, 2
2023/5/16, 18, 10, 
2023/5/17, 11, 12, 
2023/5/18, 13, 13, 
2023/5/19, 17, 12, 
2023/5/20, 16, 10, 
2023/5/21, 14, 13, 
2023/5/22, 12, 11, 
2023/5/23, 8, 10, 
2023/5/24, 9, 17, 
2023/5/25, 19, 15, 
2023/5/26, 22, 22, 
2023/5/27, 17, 11, 
2023/5/28, 12, 10, 
2023/5/29, 13, 12, 
2023/5/30, 13, 10, 
2023/5/31, 10, 15, 
2023/6/1, 20, 18, 
2023/6/2, 27, 18, 1
2023/6/3, 24, 15, 
2023/6/4, 28, 18, 
2023/6/5, 29, 16, 5
2023/6/6, 22, 15, 
2023/6/7, 19, 17, 15
2023/6/8, 23, 16, 4
2023/6/9, 24, 12, 
2023/6/10, 15, 8, 7
2023/6/11, 12, 9, 7
2023/6/12, 15, 21, 5
2023/6/13, 29, 17, 
2023/6/14, 24, 13, 
2023/6/15, 12, 13, 
2023/6/16, 13, 18, 
2023/6/17, 21, 14, 
2023/6/18, 18, 15, 
2023/6/19, 18, 13, 
2023/6/20, 11, 13, 
2023/6/21, 13, 15, 
2023/6/22, 17, 25, 4
2023/6/23, 34, 21, 
2023/6/24, 32, 25, 21
2023/6/25, 38, 22, 13
2023/6/26, 42, 19, 
2023/6/27, 31, 21, 
2023/6/28, 33, 17, 
2023/6/29, 26, 8, 
2023/6/30, 8, 6, 
2023/7/1, 5, 7, 
2023/1/3, 4, 6, 1
2023/1/4, 7, 8, 7
2023/1/5, 16, 6, 1
2023/1/6, 13, 8, 1
2023/1/7, 14, 10, 8
2023/1/8, 18, 12, 6
2023/1/9, 23, 15, 7
2023/1/10, 29, 11, 6
2023/1/11, 20, 10, 9
2023/1/12, 18, 11, 18
2023/1/13, 18, 8, 7
2023/1/14, 17, 4, 1
2023/1/15, 8, 3, 1
2023/1/16, 5, 4, 1
2023/1/17, 5, 4, 1
2023/1/18, 7, 4, 1
2023/1/19, 5, 9, 
2023/1/20, 15, 10, 18
2023/1/21, 17, 10, 2
2023/1/22, 20, 10, 
2023/1/23, 14, 12, 3
2023/1/24, 16, 15, 6
2023/1/25, 25, 15, 15
2023/1/26, 28, 12, 19
2023/1/27, 24, 11, 3
2023/1/28, 20, 10, 1
2023/1/29, 18, 5, 20
2023/1/30, 8, 8, 8
2023/1/31, 14, 7, 5
2023/2/1, 13, 13, 19
2023/2/2, 25, 8, 2
2023/2/3, 16, 12, 2
2023/2/4, 16, 15, 1
2023/2/5, 21, 12, 1
2023/2/6, 17, 5, 1
2023/2/7, 6, 5, 1
2023/2/8, 6, 6, 2
2023/2/9, 10, 9, 5
2023/2/10, 13, 10, 
2023/2/11, 17, 11, 
2023/2/12, 18, 13, 
2023/2/13, 19, 13, 
2023/2/14, 17, 13, 
2023/2/15, 15, 14, 
2023/2/16, 19, 11, 
2023/2/17, 17, 4, 
2023/2/18, 7, 3, 
2023/2/19, 4, 3, 
2023/2/20, 4, 8, 
2023/2/21, 13, 8, 7
2023/2/22, 13, 9, 
2023/2/23, 13, 9, 
2023/2/24, 14, 11, 
2023/2/25, 17, 12, 
2023/2/26, 18, 10, 
2023/2/27, 17, 10, 
2023/2/28, 16, 11, 
2023/3/1, 16, 11, 
2023/3/2, 17, 10, 2
2023/3/3, 13, 7, 
2023/3/4, 14, 6, 
2023/3/5, 13, 8, 
2023/3/6, 15, 7, 
2023/3/7, 12, 6, 
2023/3/8, 8, 2, 
2023/3/9, 4, 2, 
2023/3/10, 3, 2, 
2023/3/11, 3, 3, 
2023/3/12, 5, 6, 3
2023/3/13, 10, 7, 
2023/3/14, 9, 10, 
2023/3/15, 12, 9, 1
2023/3/16, 11, 9, 
2023/3/17, 11, 11, 
2023/3/18, 20, 11, 
2023/3/19, 23, 10, 
2023/3/20, 19, 11, 
2023/3/21, 20, 10, 
2023/3/22, 15, 9, 
2023/3/23, 15, 8, 
2023/3/24, 13, 11, 
2023/3/25, 17, 11, 
2023/3/26, 19, 12, 
2023/3/27, 22, 13, 
2023/3/28, 19, 14, 
2023/3/29, 20, 17, 13
2023/3/30, 26, 12, 
2023/3/31, 17, 9, 1
2023/4/1, 13, 9, 
2022/10/2, 13, 8, 3
2022/10/3, 12, 9, 
2022/10/4, 17, 18, 8
2022/10/5, 33, 9, 4
2022/10/6, 22, 8, 4
2022/10/7, 16, 13, 2
2022/10/8, 25, 14, 6
2022/10/9, 20, 9, 
2022/10/10, 12, 7, 5
2022/10/11, 11, 12, 10
2022/10/12, 16, 12, 
2022/10/13, 20, 20, 
2022/10/14, 27, 18, 
2022/10/15, 18, 10, 5
2022/10/16, 19, 10, 
2022/10/17, 21, 10, 
2022/10/18, 19, 14, 13
2022/10/19, 27, 21, 27
2022/10/20, 35, 10, 18
2022/10/21, 17, 7, 10
2022/10/22, 11, 10, 5
2022/10/23, 19, 17, 17
2022/10/24, 27, 29, 22
2022/10/25, 40, 15, 1
2022/10/26, 26, 15, 3
2022/10/27, 36, 11, 10
2022/10/28, 26, 8, 2
2022/10/29, 17, 8, 4
2022/10/30, 13, 13, 4
2022/10/31, 21, 31, 6
2022/11/1, 54, 19, 2
2022/11/2, 19, 15, 
2022/11/3, 16, 10, 
2022/11/4, 15, 8, 
2022/11/5, 11, 12, 
2022/11/6, 21, 16, 1
2022/11/7, 35, 16, 3
2022/11/8, 35, 20, 9
2022/11/9, 46, 19, 1
2022/11/10, 42, 13, 3
2022/11/11, 30, 16, 2
2022/11/12, 35, 11, 1
2022/11/13, 25, 13, 5
2022/11/14, 30, 12, 
2022/11/15, 27, 9, 
2022/11/16, 14, 8, 
2022/11/17, 13, 8, 
2022/11/18, 12, 11, 2
2022/11/19, 19, 25, 3
2022/11/20, 47, 16, 14
2022/11/21, 36, 12, 
2022/11/22, 18, 13, 
2022/11/23, 21, 10, 
2022/11/24, 16, 9, 
2022/11/25, 13, 10, 4
2022/11/26, 18, 14, 14
2022/11/27, 25, 12, 2
2022/11/28, 27, 11, 5
2022/11/29, 24, 9, 
2022/11/30, 12, 10, 
2022/12/1, 11, 8, 1
2022/12/2, 8, 9, 1
2022/12/3, 10, 10, 1
2022/12/4, 14, 7, 1
2022/12/5, 10, 12, 2
2022/12/6, 20, 21, 5
2022/12/7, 38, 20, 1
2022/12/8, 31, 25, 2
2022/12/9, 30, 14, 
2022/12/10, 15, 9, 
2022/12/11, 8, 10, 
2022/12/12, 13, 23, 15
2022/12/13, 31, 15, 
2022/12/14, 17, 12, 
2022/12/15, 11, 11, 
2022/12/16, 13, 9, 
2022/12/17, 10, 11, 7
2022/12/18, 14, 11, 
2022/12/19, 17, 11, 1
2022/12/20, 21, 10, 7
2022/12/21, 23, 11, 3
2022/12/22, 20, 12, 17
2022/12/23, 21, 9, 2
2022/12/24, 17, 8, 
2022/12/25, 15, 7, 
2022/12/26, 13, 5, 
2022/12/27, 9, 4, 
2022/12/28, 7, 4, 1
2022/12/29, 6, 7, 
2022/12/30, 10, 7, 
2022/12/31, 12, 7, 1
2023/1/1, 14, 4, 1
2023/1/2, 4, 4, 1
2022/7/2, 10, 5, 
2022/7/3, 10, 5, 
2022/7/4, 10, 6, 
2022/7/5, 8, 8, 
2022/7/6, 9, 6, 
2022/7/7, 10, , 
2022/7/14, 10, 11, 
2022/7/15, 7, 9, 
2022/7/16, 6, 12, 
2022/7/17, 16, 15, 
2022/7/18, 24, 11, 
2022/7/19, 17, 11, 
2022/7/20, 15, 11, 
2022/7/21, 14, 8, 
2022/7/22, 9, 11, 
2022/7/23, 13, 13, 
2022/7/24, 18, 16, 
2022/7/25, 27, 20, 17
2022/7/26, 33, 19, 
2022/7/27, 14, 10, 74
2022/7/28, 13, 10, 71
2022/7/29, 10, 13, 68
2022/7/30, 12, 12, 39
2022/7/31, 17, 14, 14
2022/8/1, 23, 14, 10
2022/8/2, 18, 20, 
2022/8/3, 28, 22, 18
2022/8/4, 29, 23, 19
2022/8/5, 28, 18, 11
2022/8/6, 29, 10, 26
2022/8/7, 12, 9, 42
2022/8/8, 10, 8, 71
2022/8/9, 8, 9, 
2022/8/10, 6, 12, 14
2022/8/11, 12, 18, 30
2022/8/12, 23, 8, 43
2022/8/13, 9, 10, 52
2022/8/14, 11, 8, 44
2022/8/15, 9, 13, 18
2022/8/16, 14, 15, 57
2022/8/17, 18, 8, 43
2022/8/18, 8, 17, 13
2022/8/19, 22, 22, 54
2022/8/20, 17, 9, 42
2022/8/21, 9, 10, 
2022/8/22, 12, 18, 7
2022/8/23, 24, 30, 
2022/8/24, 21, 19, 
2022/8/25, 11, 12, 
2022/8/26, 11, 11, 
2022/8/27, 10, 15, 11
2022/8/28, 22, 17, 
2022/8/29, 23, 10, 5
2022/8/30, 14, 5, 
2022/8/31, 10, 6, 
2022/9/1, 12, 8, 
2022/9/2, 16, 3, 
2022/9/3, 8, 3, 
2022/9/4, 6, 6, 
2022/9/5, 8, 6, 
2022/9/6, 8, 10, 
2022/9/7, 11, 15, 8
2022/9/8, 18, 18, 18
2022/9/9, 29, 10, 9
2022/9/10, 13, 7, 
2022/9/11, 10, 8, 
2022/9/12, 12, 8, 
2022/9/13, 15, 6, 
2022/9/14, 11, 19, 10
2022/9/15, 24, 29, 21
2022/9/16, 37, 17, 9
2022/9/17, 27, 10, 
2022/9/18, 16, 11, 
2022/9/19, 16, 12, 
2022/9/20, 17, 19, 5
2022/9/21, 35, 34, 7
2022/9/22, 39, 8, 
2022/9/23, 14, 8, 
2022/9/24, 12, 9, 
2022/9/25, 20, 10, 
2022/9/26, 20, 10, 
2022/9/27, 19, 12, 
2022/9/28, 17, 9, 6
2022/9/29, 23, 7, 
2022/9/30, 15, 6, 
2022/10/1, 8, 8, 
2022/4/2, 21, 18, 
2022/4/3, 27, 16, 
2022/4/4, 25, 13, 
2022/4/5, 17, 10, 
2022/4/6, 9, 16, 
2022/4/7, 14, 14, 
2022/4/8, 12, 17, 
2022/4/9, 24, 17, 
2022/4/10, 26, 15, 
2022/4/11, 19, 13, 
2022/4/12, 11, 14, 
2022/4/13, 14, 13, 
2022/4/14, 16, 14, 
2022/4/15, 18, 14, 
2022/4/16, 23, 14, 
2022/4/17, 21, 12, 
2022/4/18, 15, , 
2022/4/20, 20, 14, 
2022/4/21, 13, 12, 
2022/4/22, 11, 14, 
2022/4/23, 9, 4, 
2022/4/24, 4, 7, 
2022/4/25, 13, 2, 
2022/4/26, 3, 3, 
2022/4/27, 5, 6, 23
2022/4/28, 12, 6, 1
2022/4/29, 12, 9, 
2022/4/30, 16, 10, 
2022/5/1, 16, 9, 
2022/5/2, 15, 6, 
2022/5/3, 10, 8, 
2022/5/4, 12, 9, 
2022/5/5, 11, 12, 
2022/5/6, 13, 9, 
2022/5/7, 11, 8, 
2022/5/8, 10, 9, 
2022/5/9, 13, 7, 
2022/5/10, 11, 4, 
2022/5/11, 6, 2, 
2022/5/12, 4, 3, 
2022/5/13, 5, 5, 1
2022/5/14, 9, 7, 
2022/5/15, 14, 5, 
2022/5/16, 9, 6, 
2022/5/17, 11, 8, 
2022/5/18, 16, 7, 
2022/5/19, 13, 9, 
2022/5/20, 15, 9, 
2022/5/21, 15, 8, 
2022/5/22, 16, 7, 
2022/5/23, 12, 7, 
2022/5/24, 7, , 
2022/5/26, 13, 9, 
2022/5/27, 12, 11, 
2022/5/28, 15, 12, 
2022/5/29, 17, 18, 4
2022/5/30, 29, 37, 13
2022/5/31, 29, 16, 
2022/6/1, 16, 11, 
2022/6/2, 14, 11, 
2022/6/3, 15, 18, 2
2022/6/4, 25, 6, 33
2022/6/5, 8, 9, 2
2022/6/6, 12, 5, 
2022/6/7, 7, 10, 
2022/6/8, 14, 11, 
2022/6/9, 12, 8, 
2022/6/10, 7, 7, 
2022/6/11, 9, 7, 
2022/6/12, 7, 7, 
2022/6/13, 7, 6, 
2022/6/14, 5, 12, 
2022/6/15, 11, 13, 
2022/6/16, 13, 13, 
2022/6/17, 15, 10, 
2022/6/18, 9, 10, 
2022/6/19, 12, 10, 
2022/6/20, 15, 11, 
2022/6/21, 10, 14, 
2022/6/22, 16, 14, 
2022/6/23, 14, 11, 
2022/6/24, 11, 12, 
2022/6/25, 13, 14, 
2022/6/26, 17, 13, 
2022/6/27, 16, 18, 
2022/6/28, 14, 13, 
2022/6/29, 11, 10, 
2022/6/30, 9, 10, 
2022/7/1, 19, 5, 
2022/1/4, 25, 13, 16
2022/1/5, 21, 20, 1
2022/1/6, 22, 22, 
2022/1/7, 23, 24, 
2022/1/8, 22, 13, 
2022/1/9, 13, 16, 
2022/1/10, 16, 13, 
2022/1/11, 18, 11, 17
2022/1/12, 20, 9, 2
2022/1/13, 15, 13, 1
2022/1/14, 19, 14, 16
2022/1/15, 23, 16, 20
2022/1/16, 25, 18, 16
2022/1/17, 24, 24, 29
2022/1/18, 28, 18, 9
2022/1/19, 27, 14, 22
2022/1/20, 32, 11, 10
2022/1/21, 20, 9, 
2022/1/22, 18, 10, 9
2022/1/23, 18, 10, 
2022/1/24, 15, 8, 
2022/1/25, 10, 7, 
2022/1/26, 8, 8, 3
2022/1/27, 10, 7, 
2022/1/28, 9, 7, 
2022/1/29, 12, 6, 
2022/1/30, 8, 6, 
2022/1/31, 7, 9, 1
2022/2/1, 11, 18, 5
2022/2/2, 22, 16, 11
2022/2/3, 21, 11, 21
2022/2/4, 12, 12, 
2022/2/5, 15, 10, 
2022/2/6, 14, 8, 
2022/2/7, 13, 10, 1
2022/2/8, 18, 9, 
2022/2/9, 17, 11, 
2022/2/10, 21, 13, 13
2022/2/11, 22, 13, 
2022/2/12, 17, 14, 2
2022/2/13, 18, 12, 5
2022/2/14, 22, 11, 
2022/2/15, 17, 12, 
2022/2/16, 18, 10, 
2022/2/17, 14, 10, 
2022/2/18, 14, 17, 19
2022/2/19, 28, 13, 
2022/2/20, 17, 11, 4
2022/2/21, 17, 14, 1
2022/2/22, 19, 12, 
2022/2/23, 18, 12, 1
2022/2/24, 16, 16, 4
2022/2/25, 19, 16, 1
2022/2/26, 19, 9, 1
2022/2/27, 10, 8, 1
2022/2/28, 7, 8, 3
2022/3/1, 9, 10, 1
2022/3/2, 10, 14, 4
2022/3/3, 17, 17, 11
2022/3/4, 21, 13, 
2022/3/5, 12, 10, 
2022/3/6, 9, 14, 
2022/3/7, 14, 13, 
2022/3/8, 12, 17, 
2022/3/9, 16, 14, 
2022/3/10, 15, 14, 
2022/3/11, 14, 16, 
2022/3/12, 14, 12, 
2022/3/13, 12, 11, 5
2022/3/14, 20, 12, 11
2022/3/15, 20, 13, 9
2022/3/16, 22, 15, 3
2022/3/17, 28, 11, 
2022/3/18, 18, 10, 
2022/3/19, 14, 12, 
2022/3/20, 14, 12, 
2022/3/21, 16, 14, 
2022/3/22, 20, 19, 22
2022/3/23, 27, 18, 7
2022/3/24, 23, 21, 14
2022/3/25, 28, 30, 16
2022/3/26, 27, 13, 
2022/3/27, 21, 13, 
2022/3/28, 18, 10, 
2022/3/29, 11, 13, 1
2022/3/30, 12, 12, 
2022/3/31, 12, 13, 
2022/4/1, 14, 17, 
2021/10/2, 20, 19, 20
2021/10/3, 24, 24, 21
2021/10/4, 33, 45, 1
2021/10/5, 41, 16, 
2021/10/6, 21, 22, 1
2021/10/7, 28, 40, 8
2021/10/8, 47, 22, 7
2021/10/9, 32, 22, 5
2021/10/10, 32, 28, 27
2021/10/11, 37, 21, 
2021/10/12, 41, 13, 22
2021/10/13, 29, 13, 14
2021/10/14, 28, 36, 11
2021/10/15, 32, 25, 
2021/10/16, 23, 15, 
2021/10/17, 17, 21, 12
2021/10/18, 26, 31, 32
2021/10/19, 41, 24, 14
2021/10/20, 40, 17, 7
2021/10/21, 29, 35, 13
2021/10/22, 53, 25, 13
2021/10/23, 52, 17, 2
2021/10/24, 39, 21, 13
2021/10/25, 54, 34, 23
2021/10/26, 55, 37, 14
2021/10/27, 59, 37, 2
2021/10/28, 79, 36, 11
2021/10/29, 78, 30, 2
2021/10/30, 63, 25, 34
2021/10/31, 37, 18, 
2021/11/1, 21, 17, 1
2021/11/2, 33, 20, 16
2021/11/3, 54, 13, 3
2021/11/4, 34, 10, 
2021/11/5, 20, 17, 7
2021/11/6, 34, 20, 10
2021/11/7, 41, 17, 5
2021/11/8, 40, 18, 8
2021/11/9, 47, 14, 1
2021/11/10, 26, 18, 
2021/11/11, 33, 13, 2
2021/11/12, 30, 24, 
2021/11/13, 19, 10, 
2021/11/14, 11, 8, 
2021/11/15, 9, 11, 
2021/11/16, 10, 10, 
2021/11/17, 10, 10, 
2021/11/18, 10, 12, 
2021/11/19, 19, 15, 
2021/11/20, 29, 19, 1
2021/11/21, 37, 35, 12
2021/11/22, 49, 15, 
2021/11/23, 20, 14, 3
2021/11/24, 16, 20, 25
2021/11/25, 34, 10, 
2021/11/26, 16, 12, 
2021/11/27, 13, 10, 
2021/11/28, 12, 9, 3
2021/11/29, 11, 8, 7
2021/11/30, 11, 9, 12
2021/12/1, 10, 11, 12
2021/12/2, 10, 8, 
2021/12/3, 10, 6, 
2021/12/4, 7, 9, 
2021/12/5, 12, 22, 11
2021/12/6, 44, 14, 3
2021/12/7, 22, 9, 7
2021/12/8, 20, 9, 
2021/12/9, 18, 17, 
2021/12/10, 16, 13, 
2021/12/11, 13, 14, 
2021/12/12, 11, 11, 
2021/12/13, 12, 14, 7
2021/12/14, 15, 22, 7
2021/12/15, 36, 25, 15
2021/12/16, 47, 29, 25
